"","timestamp","Cahuapan.Wind.Speed..80.m.","Cahuapan.Wind.Direction..80.m."
"292",2020-04-24 03:00:00,41.140926,212.85573
"293",2020-04-24 04:00:00,38.342957,214.28688
"294",2020-04-24 05:00:00,35.362556,215.46988
"295",2020-04-24 06:00:00,32.651028,214.2157
"296",2020-04-24 07:00:00,29.651413,209.05461
"297",2020-04-24 08:00:00,17.462784,188.29715
"298",2020-04-24 09:00:00,17.771753,186.98106
"299",2020-04-24 10:00:00,16.516901,200.40988
"300",2020-04-24 11:00:00,20.456745,208.36905
"301",2020-04-24 12:00:00,23.893261,210.8157
"302",2020-04-24 13:00:00,25.567604,212.34744
"303",2020-04-24 14:00:00,23.584808,211.26373
"304",2020-04-24 15:00:00,20.316889,209.74487
"305",2020-04-24 16:00:00,14.386494,211.70143
"306",2020-04-24 17:00:00,2.9024127,299.74487
"307",2020-04-24 18:00:00,7.928178,2.6025543
"308",2020-04-24 19:00:00,7.9932976,352.23483
"309",2020-04-24 20:00:00,11.885453,1.7356873
"310",2020-04-24 21:00:00,11.183201,3.6913757
"311",2020-04-24 22:00:00,10.08,360
"312",2020-04-24 23:00:00,10.799999,360
"313",2020-04-25 00:00:00,10.853866,354.28943
"314",2020-04-25 01:00:00,5.692099,325.30484
"315",2020-04-25 02:00:00,8.049845,206.56505
"316",2020-04-25 03:00:00,22.450264,195.8192
"317",2020-04-25 04:00:00,25.759504,206.56505
"318",2020-04-25 05:00:00,24.48,208.0725
"319",2020-04-25 06:00:00,22.380884,205.7407
"320",2020-04-25 07:00:00,19.586117,197.10272
"321",2020-04-25 08:00:00,8.209263,195.25513
"322",2020-04-25 09:00:00,10.805999,178.09085
"323",2020-04-25 10:00:00,7.9526596,174.80557
"324",2020-04-25 11:00:00,5.3999996,180
"325",2020-04-25 12:00:00,3.2399998,180
"326",2020-04-25 13:00:00,1.08,180
"327",2020-04-25 14:00:00,0,180
"328",2020-04-25 15:00:00,3.7585104,16.69925
"329",2020-04-25 16:00:00,18.25026,22.011276
"330",2020-04-25 17:00:00,36.2243,26.565033
"331",2020-04-25 18:00:00,32.553635,29.11615
"332",2020-04-25 19:00:00,28.460497,34.69516
"333",2020-04-25 20:00:00,19.191748,23.198578
"334",2020-04-25 21:00:00,9.686609,41.987198
"335",2020-04-25 22:00:00,7.172949,72.47443
"336",2020-04-25 23:00:00,2.9024127,82.874985
"337",2020-04-26 00:00:00,3.2599385,276.34018
"338",2020-04-26 01:00:00,10.703569,289.6538
"339",2020-04-26 02:00:00,13.049689,294.44397
"340",2020-04-26 03:00:00,11.298495,300.6507
"341",2020-04-26 04:00:00,10.799999,323.13013
"342",2020-04-26 05:00:00,15.141414,331.607
"343",2020-04-26 06:00:00,22.450264,344.18082
"344",2020-04-26 07:00:00,28.449112,1.4502106
"345",2020-04-26 08:00:00,11.879999,270
"346",2020-04-26 09:00:00,14.917212,250.25317
"347",2020-04-26 10:00:00,16.862455,253.8866
"348",2020-04-26 11:00:00,15.84409,268.69806
"349",2020-04-26 12:00:00,19.803272,297.03088
"350",2020-04-26 13:00:00,21.096123,323.32565
"351",2020-04-26 14:00:00,24.187069,4.2678986
"352",2020-04-26 15:00:00,35.50155,353.59564
"353",2020-04-26 16:00:00,35.39186,350.63348
"354",2020-04-26 17:00:00,35.346058,356.4965
"355",2020-04-26 18:00:00,35.64727,358.84268
"356",2020-04-26 19:00:00,31.526215,6.556946
"357",2020-04-26 20:00:00,23.675303,8.74614
"358",2020-04-26 21:00:00,18.998314,9.81929
"359",2020-04-26 22:00:00,18.72,360
"360",2020-04-26 23:00:00,15.84409,358.69806
"361",2020-04-27 00:00:00,20.523157,344.74487
"362",2020-04-27 01:00:00,20.364674,351.8699
