"","timestamp","Playa.Novillero.Wind.Speed..80.m.","Playa.Novillero.Wind.Direction..80.m."
"310",2020-04-24 21:00:00,1.8,233.1301
"311",2020-04-24 22:00:00,0.35999998,270
"312",2020-04-24 23:00:00,1.609969,26.565033
"313",2020-04-25 00:00:00,2.6208394,74.054596
"314",2020-04-25 01:00:00,2.8799999,89.99999
"315",2020-04-25 02:00:00,2.9024127,97.125015
"316",2020-04-25 03:00:00,3.6179552,84.289406
"317",2020-04-25 04:00:00,4.896529,72.89727
"318",2020-04-25 05:00:00,5.154415,65.224846
"319",2020-04-25 06:00:00,6.6087217,60.64225
"320",2020-04-25 07:00:00,8.557102,67.75098
"321",2020-04-25 08:00:00,5.6920996,71.56504
"322",2020-04-25 09:00:00,0.71999997,89.99999
"323",2020-04-25 10:00:00,3.096837,234.46233
"324",2020-04-25 11:00:00,4.6800003,247.38014
"325",2020-04-25 12:00:00,7.754637,248.1986
"326",2020-04-25 13:00:00,8.534353,242.35403
"327",2020-04-25 14:00:00,10.948973,242.59244
"328",2020-04-25 15:00:00,10.805998,240.01837
"329",2020-04-25 16:00:00,12.287555,238.17256
"330",2020-04-25 17:00:00,11.090103,234.24612
"331",2020-04-25 18:00:00,11.753876,229.96974
"332",2020-04-25 19:00:00,5.991594,237.26477
"333",2020-04-25 20:00:00,5.8048253,240.25513
"334",2020-04-25 21:00:00,2.5959969,213.69006
"335",2020-04-25 22:00:00,2.8116899,140.19443
"336",2020-04-25 23:00:00,4.6800003,112.61986
"337",2020-04-26 00:00:00,5.8048253,119.74488
"338",2020-04-26 01:00:00,5.634891,116.56505
"339",2020-04-26 02:00:00,4.6938252,94.398705
"340",2020-04-26 03:00:00,4.452954,75.96376
"341",2020-04-26 04:00:00,5.1919937,56.30993
"342",2020-04-26 05:00:00,5.6233797,50.194427
"343",2020-04-26 06:00:00,6.638072,49.398697
"344",2020-04-26 07:00:00,6.12,61.927513
"345",2020-04-26 08:00:00,4.3498964,65.55604
"346",2020-04-26 09:00:00,1.08,89.99999
"347",2020-04-26 10:00:00,2.5959969,213.69006
"348",2020-04-26 11:00:00,4.1046314,217.87498
"349",2020-04-26 12:00:00,6.9153743,231.3402
"350",2020-04-26 13:00:00,8.4963045,233.61565
"351",2020-04-26 14:00:00,11.681987,236.30994
